,lyrics,label
0,아침은 너무 멀어,0
1,훌쩍 커버렸어,0
2,함께한 기억처럼,0
3,널 보는 내 마음은,0
4,어느새 여름 지나 가을,0
5,날 보고 웃었지만,0
6,내 길었던 하루,0
7,난 보고 싶어,0
8,널 좋아한다고,0
9,아침은 너무 멀어,0
10,다 아는 건 아니어도,0
11,바라던 대로,0
12,너를 상상했지,0
13,항상 닿아있던,0
14,처음 느낌 그대로 난,0
15,널 좋아한다고,0
16,아침은 너무 멀어,0
17,다 아는 건 아니어도,0
18,바라던 대로,0
19,생각이 많은 건 말이야,0
20,당연히 해야 할 일이야,0
21,나에겐 우리가 지금 1순위야,0
22,안전한 유리병을 핑계로,0
23,바람을 가둬 둔 것 같지만,0
24,기억나? 그날의 우리가,0
25,잡았던 그 손엔 말이야,0
26,설레임보다 커다란 믿음이 담겨서,0
27,난 함박웃음을 지었지만,0
28,울음이 날 것도 같았어,0
29,소중한 건 언제나 두려움이니까,0
30,문을 열면 들리던 목소리,0
31,너로 인해 변해있던 따뜻한 공기,0
32,여전히 자신 없지만 안녕히,0
33,"저기, 사라진 별의 자리",0
34,아스라이 하얀 빛,0
35,한동안은 꺼내 볼 수 있을 거야,0
36,아낌없이 반짝인 시간은,0
37,조금씩 옅어져 가더라도,0
38,너와 내 맘에 살아 숨 쉴 테니,0
39,"여긴, 서로의 끝이 아닌",0
40,새로운 길 모퉁이,0
41,익숙함에 진심을 속이지 말자,0
42,하나 둘 추억이 떠오르면,0
43,많이 많이 그리워할 거야,0
44,고마웠어요 그래도 이제는,0
45,사건의 지평선 너머로,0
46,솔직히 두렵기도 하지만,0
47,노력은 우리에게 정답이 아니라서,0
48,마지막 선물은 산뜻한 안녕,0
49,"저기, 사라진 별의 자리",0
50,아스라이 하얀 빛,0
51,한동안은 꺼내 볼 수 있을 거야,0
52,아낌없이 반짝인 시간은,0
53,조금씩 옅어져 가더라도,0
54,너와 내 맘에 살아 숨 쉴 테니,0
55,"여긴, 서로의 끝이 아닌",0
56,새로운 길 모퉁이,0
57,익숙함에 진심을 속이지 말자,0
58,하나 둘 추억이 떠오르면,0
59,많이 많이 그리워할 거야,0
60,고마웠어요 그래도 이제는,0
61,사건의 지평선 너머로,0
62,"저기, 사라진 별의 자리",0
63,아스라이 하얀 빛,0
64,한동안은 꺼내 볼 수 있을 거야,0
65,아낌없이 반짝인 시간은,0
66,조금씩 옅어져 가더라도,0
67,너와 내 맘에 살아 숨 쉴 테니,0
68,"여긴, 서로의 끝이 아닌",0
69,새로운 길 모퉁이,0
70,익숙함에 진심을 속이지 말자,0
71,하나 둘 추억이 떠오르면,0
72,많이 많이 그리워할 거야,0
73,고마웠어요 그래도 이제는,0
74,사건의 지평선 너머로,0
75,사건의 지평선 너머로,0
76,"(1,2,3,4)",0
77,너도 말해줄래,0
78,누가 내게 뭐라든,0
79,남들과는 달라 넌,0
80,날 믿어봐 한번,0
81,재미없어 어쩌지,0
82,내 지난날들은,0
83,눈 뜨면 잊는 꿈,0
84,눈을 감아,0
85,잠에 들려고 잠에 들려 해도,0
